,review
29,"음식도 맛있고 깔끔합니다 주말 저녁에 방문해서 그런지 다소 접객이 늦는 면이 있었는데, 7시 반 이후로 방문하시면 괜찮을 것 같아요.가격도 합리적이고, 후식으로 주시는 아이스크림도 정말 맛있었어요"
30,부모님 모시고 갔는데 고기 너무 잘드시고 장소도 넓고 인테리어가 고급져서 식사  기분 좋게 잘 할 수 있었어요. 기본 반찬도 알차서 맛있게 한 끼 해결했네요 ㅎㅎ 
31,고기 정말 맛있고 매장도 넓고 쾌적하고 고기도 잘 구워주시고 사이드 메뉴도 모두 맛있어요. 앞으로도 또 오고 싶을 만큼 만족스러웠습니다!
32,언니랑 전시보러 왔다가 너무 배고파서 검색 검색하다 찾아서 왔는데 들어오자마자 너무 친절하시구 매장도 너무 쾌적하네요..! 고기 질은 말할것도 없고 직접 구워주시니까 너무 편하고 맛있게 먹었어요 🩷🩷반찬도 정갈하고 만약 가족모임이나 친구들 모임있으면 또 오고싶을거 같아요 ! 
33,양질의 단백질을 먹고 싶어서우연히 맛집을 찾다가 방문하게 되었어요! 서비스도 분위기도 좋아서 담엔 예약하고 와야겠어요~
34,"점심시간에 어디를 갈까하다가, 시청역 맛집이라 가봤어요. 내부도 전통적이고요. 괜찮더라구요.김치전골도 맛나구요. 직원 분들이 벽돌갈비도 구워주시고 응대도 반갑게 잘 해주시는것 같아요.잘 먹었습니다."
35,고기질도 좋고 씹었을때 고소한맛이 미쳤어요… 기본 소고기국도 맛있고 반찬들도 고기랑 찰떡궁합인 것들로 구성되어있어서 같이 곁들여서 맛있게먹었습니다:) 다음엔 부모님 모시고 오고싶어요👍
36,첫 방문인데 너무 만족합니다!! 반찬 나오는 구성이 진짜진짜 풍족해서 고기 먹기 전 부터 배가 불러요~ㅋㅋㅋ 고기 질도 정말 좋고 맛있게 먹었습니다 직원들 하나같이 이쁘고 잘생기고 친절해요💓 고기 처음부터 끝까지 구워주시는데 만족👍 다음에 또 방문할게요🤍🤍
37,고기 정말 맛있습니다. 소 녹습니다.대체로 고기집은 고기가 맛있거나 서비스가 좋거나 분위기가 좋거나 중 하나로 잘나가는데여기는 다 있습니다. 이렇게 친절 서비스 고기 분위기 모두 고루 갖춘 식당은 단언코 찾기 어려우리라 장담합니다.
38,고기가 살살녹고 너무 맛있어요.오자마자 따뜻하고  칼칼한 무국이 속을 너무 편하게해주고밑반찬들도 너무 정갈한맛이에요.대접받고 가는 느낌입니다^^
39,"예약 요청한대로 좋은 자리로 준비해주셨습니다. 고기 질도 좋아보였고 육회나 냉면같은 사이드도 다 좋았습니다. 직원들 서비스도 친절하셔서 만족스러웠습니다. 다만, 고기를 구워주실때 익히는 정도나 숯을 자주 갈아서 고기의 맛을 최대한으로 내지 못하는것 같아서 조금은 아쉬웠습니다.반찬이나 나머지는 모두 좋았습니다."
40,예약하고 갔는데 테이블 정리 중이라며 10분 정도 서 있다가 자리 착석했어요. 이럴거면 예약을 안 하고 갔을텐데요. 그리고 벽돌갈비 구워준다고 되있었는데 고기만 갖다주시고 안 구워주셔서 직원 호출하니까 그때 구워주시더라구요. 맛은 좋았습니다. 그리고 돼지고기를 주문했더니 돼지고기는 직접 구워먹으라고 하시는…. 구워준다는 정보 있어서 회식자리로 예약한건데 여러모로 아쉬웠습니다. 냉면 맛있어요. 회식자리로는 이용하지 않을 것 같아요.
41,평일 점심에 들렀는데 웨이팅 없이 바로 들어갈 수 있었어요! 매장이 엄청 넓고 깨끗해서 회식하기도 좋아보였네요고기질이 좋아서 정말 부드러웠어요밑반찬도 다 맛있어서 다음에 또 오려고요
42,3번째 방문! 너무 맛있습니다! 돼지갈비 시켜봤는데 아무래도..벽돌갈비가 제일 맛있네요!소갈비맛집입니다.  벽돌갈비 다시 먹으러 다음에 또 와야겠어요
43,외국인 친구들 데리고 왔는데 너무 맜있게 잘 먹었어요. 한국에서의 첫 바베큐 완전 성공적이에요!다음에 또 오고 싶은 곳이에요. 고기 잡내도 안나고 정말 맛있었어요. 배 불러서 더 못 먹는게 너무 아쉬울 뿐! 
44,"이미 다 먹어버려서 사진을 못찍었어요,,, 두번째 방문인데 너무 맛있어요🥹🥹🥹 중국 친구들하고 함께왔는데 친구들도 너무 맛있대요 !!!"
45,밑반찬이 훌륭하고 고기도 맛있어요 벽돌갈비맛있습니다. 강남에서 이거먹으러와요!
